Abies	Alnus	Betula	Carpinus	Castanea	Cedrus	Corylus	Ephedra	Fagus	Juniperus	Larix	Olea	Ostrya	Phillyrea	Picea	Pinus.D	Pinus.H	Pistacia	Quercus.D	Quercus.E	Salix	Tilia	Ulmus	Artemisia	Chenopodiaceae	Cyperaceae	Ericales.	Gramineae	
0	3	28	0	0	0	1	1	2	1	0	0	1	0	0	13	0	0	197	0	2	3	0	26	5	2	1	94	
0	1	8	0	0	0	5	0	2	2	0	0	0	2	0	5	0	1	215	0	5	3	10	2	2	0	0	25	
0	2	37	0	0	0	0	1	1	3	0	0	0	0	0	19	0	0	154	0	0	5	3	29	4	0	0	100	
0	1	41	0	0	0	0	1	3	4	0	0	2	0	0	13	0	0	182	0	0	6	1	32	6	0	0	131	
0	1	31	0	0	0	0	1	4	1	0	0	1	0	0	15	0	0	217	0	0	0	0	40	5	3	0	103	
0	0	4	0	0	0	0	0	3	0	0	0	0	2	0	11	0	0	202	0	12	6	3	1	1	1	0	45	
0	1	28	0	0	0	0	5	4	0	0	0	2	0	0	12	0	0	154	0	2	0	1	24	15	5	0	83	
0	3	29	1	0	0	0	0	5	3	0	0	0	0	0	11	0	0	147	0	3	0	4	29	6	3	0	72	
1	0	49	0	0	0	0	2	3	4	0	0	3	1	0	10	0	0	146	0	1	2	1	33	12	1	1	70	
0	2	50	0	0	0	0	2	2	5	0	0	0	0	0	8	0	0	145	0	0	1	3	22	9	5	0	59	
0	0	10	0	0	0	2	0	5	0	0	0	0	0	0	7	0	0	185	0	10	5	10	9	3	0	0	52	
0	2	44	0	0	0	1	0	2	3	0	0	3	0	0	9	0	0	181	0	0	0	3	20	2	3	0	92	
0	0	6	0	0	0	4	0	1	1	0	0	0	0	0	10	0	1	227	0	3	3	9	0	2	5	0	44	
0	3	38	0	0	0	0	0	2	4	0	0	4	0	0	11	0	0	137	0	2	0	0	23	9	0	0	90	
0	1	10	0	0	0	1	0	4	1	0	0	0	4	0	9	0	0	206	2	7	7	6	2	1	2	0	47	
0	0	16	0	0	0	1	0	2	0	0	0	0	0	0	5	0	0	206	0	7	6	5	3	1	0	0	44	
0	0	70	0	0	0	3	1	2	3	0	0	0	0	0	9	0	0	115	0	2	5	7	26	9	3	0	89	
0	2	14	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	180	0	4	3	7	0	4	1	0	57	
0	1	16	0	0	0	1	0	3	1	0	0	0	0	0	9	0	0	190	0	6	2	4	13	2	0	0	66	
0	0	36	0	0	0	1	1	3	4	0	0	0	0	0	8	0	0	179	0	4	1	5	27	10	3	0	102	
0	1	8	0	0	0	0	0	2	0	0	0	0	2	0	10	0	0	220	1	2	4	1	0	7	1	0	54	
0	0	23	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	162	0	3	2	1	25	3	0	0	71	
0	0	43	0	0	0	2	2	4	1	0	0	0	0	0	14	0	0	183	0	2	4	4	42	11	1	0	77	
0	4	40	0	0	0	3	0	1	1	0	0	0	0	0	10	0	0	161	0	1	1	2	18	5	0	0	58	
0	1	26	0	0	0	0	5	1	6	0	0	0	0	0	11	0	0	128	0	4	0	2	23	5	1	0	71	
0	0	33	0	0	0	0	0	2	3	0	0	0	0	0	6	0	0	168	0	4	3	7	31	10	0	0	58	
1	1	37	0	0	0	0	0	1	1	0	0	0	0	0	10	0	0	141	0	2	1	4	2	5	3	0	53	
0	1	14	0	0	0	2	2	2	6	0	0	0	0	0	13	0	0	239	0	2	3	15	27	6	2	0	77	
0	1	47	0	0	0	0	0	2	0	0	0	0	0	0	5	0	0	181	0	1	3	0	31	4	0	0	54	
0	1	62	0	0	0	2	0	8	0	0	0	0	0	0	8	0	0	160	0	2	2	4	2	7	1	0	43	
0	3	14	0	0	0	8	0	28	2	0	0	0	0	0	9	0	0	232	0	3	29	19	8	8	2	0	56	
0	1	58	0	0	0	0	0	2	4	0	0	0	0	0	9	0	0	124	0	6	3	5	26	6	0	0	54	
0	1	41	0	0	0	0	0	4	3	0	0	0	2	0	10	0	0	187	0	4	1	1	0	3	3	0	32	
0	1	51	0	0	0	1	0	4	2	0	0	0	0	0	14	0	0	147	0	2	1	3	19	14	0	0	72	
0	3	41	0	0	0	4	0	4	3	0	0	0	0	0	14	0	0	192	0	5	6	8	0	5	0	0	45	
0	2	33	0	0	0	0	0	6	4	0	0	0	0	0	2	0	0	154	0	4	2	2	30	9	0	0	52	
0	1	17	0	0	0	1	0	12	2	0	0	3	0	0	10	0	0	230	0	4	28	6	10	5	1	0	54	
